model,device,gpu_name,d_model,learning_rate,epochs,total_params,trainable_params,epoch,loss_mean,loss_std,entropy,grad_norm,mor_steps,stop_prob
Multiply1DigitEntity,cuda,NVIDIA GeForce GTX 1650,64,0.001,40,14475,14475,,,,,,,
,,,,,,,,1,2.119553458839655,,2.155312348127365,8.93559823007509,,
,,,,,,,,2,1.5088496117033063,,1.6844537246525288,7.831842515178956,,
,,,,,,,,3,1.244011787036201,,1.3530983581319451,7.312029722391599,,
,,,,,,,,4,1.1400683925745543,,1.219252773595974,7.552885276737798,,
,,,,,,,,5,1.0936670411462983,,1.147463592696935,8.051476468848923,,
,,,,,,,,6,1.0571509796063328,,1.0824984704423697,8.779415461793556,,
,,,,,,,,7,1.0243185131778374,,1.041059191062668,9.202254082561055,,
,,,,,,,,8,0.9891776421963295,,1.006939079936419,9.168946747803398,,
,,,,,,,,9,0.9586266147785464,,0.9753843749863154,9.194415484854657,,
,,,,,,,,10,0.9310349620700114,,0.9592424116450384,9.39689617897106,,
,,,,,,,,11,0.8945627913494418,,0.9312520201234438,9.325310749423855,,
,,,,,,,,12,0.8649348067781831,,0.8927508092905857,9.607759862490411,,
,,,,,,,,13,0.8078552618261553,,0.8608727240277203,9.688638773708908,,
,,,,,,,,14,0.7506930215708578,,0.8186537334821021,9.736604004742146,,
,,,,,,,,15,0.6895088385056248,,0.7784589991588082,9.538100177823878,,
,,,,,,,,16,0.6196563537563108,,0.7355976898675206,9.157563349252008,,
,,,,,,,,17,0.5745611293775287,,0.6870354069706807,9.493819885967465,,
,,,,,,,,18,0.4840156494638824,,0.6275654065557249,8.7790352305423,,
,,,,,,,,19,0.43398537530462616,,0.5749182095901763,8.10697844507305,,
,,,,,,,,20,0.37019752240721804,,0.5186355414517659,7.464543203754084,,
,,,,,,,,21,0.31159859016556724,,0.47361028555057666,6.911230609749508,,
,,,,,,,,22,0.2550508898494701,,0.4104241768859707,6.086808581679496,,
,,,,,,,,23,0.19518197269043788,,0.35858898588957877,5.227449692056235,,
,,,,,,,,24,0.14851989745540672,,0.2997396172774733,4.158092625624372,,
,,,,,,,,25,0.10853521937291419,,0.2499493109660699,3.4332664620354927,,
,,,,,,,,26,0.07967073286557928,,0.20651715694799544,2.758175925191117,,
,,,,,,,,27,0.047356013194123595,,0.14998941854050785,1.9001682190167377,,
,,,,,,,,28,0.034909837470802355,,0.11474788042114463,1.459008934635647,,
,,,,,,,,29,0.019676889724617758,,0.0817902125594108,0.932868811995199,,
,,,,,,,,30,0.035451981029276616,,0.09586084535867039,1.8310604729852196,,
,,,,,,,,31,0.0129469533882436,,0.05498831734779606,0.6821413233288138,,
,,,,,,,,32,0.008709996026851399,,0.04316231503907745,0.44195467347441814,,
,,,,,,,,33,0.005102917461943285,,0.029912757516503193,0.27423240731187565,,
,,,,,,,,34,0.005841545659304962,,0.02966835238886787,0.317676690312781,,
,,,,,,,,35,0.05717194449744714,,0.0768847565367577,2.363329791690405,,
,,,,,,,,36,0.010697596257984792,,0.04588857982234206,0.6193460366826599,,
,,,,,,,,37,0.0038652484388782683,,0.024033947558060584,0.19998022158645726,,
,,,,,,,,38,0.0029162904487533723,,0.019488902701798295,0.1508518662435298,,
,,,,,,,,39,0.0026210103292727853,,0.01720048752803928,0.13831722354451884,,
,,,,,,,,40,0.0027160184123346766,,0.015982268604155418,0.15180357430165184,,
