model,device,gpu_name,d_model,learning_rate,epochs,total_params,trainable_params,epoch,loss_mean,loss_std,entropy,grad_norm,mor_steps,stop_prob
Subtract1DigitEntity,cuda,NVIDIA GeForce GTX 1650,64,0.001,10,13963,13963,,,,,,,
,,,,,,,,1,0.12974162654122906,0.4709203543287068,,1.3944397201949106,2.42615,0.5063750492084771
,,,,,,,,2,0.0036019632997915762,0.1449602983172406,,0.09888502821904235,2.4512,0.503885308809951
,,,,,,,,3,0.004238957988014687,0.1306112973592847,,0.13906821303418834,2.5442,0.49692682829760015
,,,,,,,,4,0.003110480474797308,0.12381584630499969,,0.08580688709520717,2.5861,0.500762084652856
,,,,,,,,5,0.002754751483078761,0.10803321910152779,,0.0890555087127199,2.57935,0.5078118175171316
,,,,,,,,6,0.0024677346952719325,0.09538665626244464,,0.08285875727736908,2.6381,0.5021118120245636
,,,,,,,,7,0.0026050184937424243,0.1263069389974066,,0.062090097382453587,2.68855,0.49871726347357037
,,,,,,,,8,0.0036736290072261054,0.12684784872526583,,0.1116900954818953,2.72605,0.4949279222331941
